"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CXCR2","Mono_III","0.89","0.922","0.574","0.721","0.762","0.799","0.61","0.476","0.1","0.009","0.12","0.104","-0.025","0.062"
"CXCR2","Neu","0.918","0.919","0.383","0.959","0.476","0.279","0.762","0.915","0.121","-0.021","0.153","0.086","0","0.056"
"CXCR2","NK_like","0.723","0.813","0.598","1","0.914","0.328","0.61","0.352","0.08","-0.024","0.085","0.07","-0.023","0.068"
"CXCR2","pDC","0.459","0.275","0.799","0.646","0.762","1","0.476","0.914","0.008","-0.02","0.07","0.085","0.018","0.082"
"CXCR2","UA","0.89","0.432","0.506","0.959","0.914","0.328","0.067","0.352","0.141","-0.125","0.213","-0.029","0.01","0.032"
"CXCR4","B","0.927","0.375","0.879","0.279","0.038","0.574","0.257","0.762","0.155","-0.047","0.297","-0.234","0.043","-0.14"
"CXCR4","Baso","0.517","0.557","0.959","0.279","0.171","0.13","0.914","0.257","0.328","-0.1","0.498","0.11","0.104","0.087"
"CXCR4","CD4_T","0.145","1","0.799","0.506","0.914","0.234","1","0.476","0.307","0.011","0.402","0.119","0.036","0.109"
"CXCR4","CD8_T","0.517","0.77","0.646","0.879","1","0.442","1","0.914","0.146","-0.003","0.42","0.11","0.215","0.14"
"CXCR4","cDC1","0.818","0.557","0.799","0.574","0.171","0.799","0.914","0.762","-0.018","-0.038","0.3","0.115","0.235","0.075"
"CXCR4","cDC2","0.284","1","0.799","0.574","0.352","0.195","0.476","0.914","0.154","-0.214","0.697","-0.082","0.478","0.111"
"CXCR4","DNT","0.98","0.652","0.661","0.377","0.73","0.221","0.73","0.556","0.403","-0.123","0.546","0.464","0.027","0.443"
"CXCR4","DPT","0.431","0.695","0.959","0.646","0.476","0.799","1","0.914","0.152","0.052","0.17","0.172","-0.046","0.117"
"CXCR4","GMDSC","0.277","0.846","0.913","0.441","1","0.31","1","0.61","0.033","-0.156","0.154","-0.042","0.065","0.101"
"CXCR4","MMDSC_I","0.495","0.203","0.383","0.734","0.476","0.51","0.476","1","0.039","-0.163","0.323","0.055","0.235","0.226"
"CXCR4","MMDSC_II","0.273","0.557","0.518","0.51","0.038","0.833","0.343","0.114","-0.009","-0.186","0.636","-0.003","0.585","-0.096"
"CXCR4","MMDSC_III","0.185","0.492","0.879","0.799","0.038","0.792","0.352","0.476","-0.142","-0.147","0.607","-0.021","0.688","0.093"
"CXCR4","Mono_I","0.459","0.695","0.879","0.234","0.067","0.279","0.762","0.914","0.073","-0.121","0.278","0.101","0.114","0.117"
"CXCR4","Mono_II","0.144","0.846","0.827","0.234","0.593","0.377","0.762","0.171","-0.315","0.004","0.014","-0.083","0.368","-0.087"
"CXCR4","Mono_III","0.12","1","0.646","0.799","0.171","0.195","0.476","0.762","0.094","-0.132","0.304","-0.025","0.139","0.117"
"CXCR4","Neu","0.579","0.695","0.646","0.195","1","1","0.762","0.352","0.07","0.008","0.409","0.089","0.314","0.102"
"CXCR4","NK_like","0.981","0.695","0.879","0.646","0.762","0.195","0.914","0.257","0.117","-0.063","0.44","0.146","0.297","0.184"
"CXCR4","pDC","0.011","0.322","0.799","0.646","0.352","0.598","0.914","0.762","-0.07","-0.13","0.232","0.044","0.248","0.19"
"CXCR4","UA","0.89","0.813","0.328","0.959","0.762","0.383","0.114","0.171","0.109","-0.198","0.33","-0.159","0.175","-0.048"
"FCERI","B","0.156","0.444","0.506","0.879","0.762","0.073","0.476","0.914","0.027","0.001","0.031","0.011","-0.002","0.002"
"FCERI","Baso","0.378","0.557","0.279","0.721","0.61","0.13","1","0.257","-0.548","0.038","0.121","0.079","0.635","-0.037"
"FCERI","CD4_T","0.979","0.432","0.874","1","0.762","0.958","0.352","0.257","0.011","-0.001","0.011","0.019","-0.005","0.017"
"FCERI","CD8_T","0.95","0.332","0.958","0.959","1","0.492","0.762","1","0.011","-0.002","0.01","0.021","-0.007","0.016"
"FCERI","cDC1","0.019","0.695","0.646","0.752","0.257","0.574","0.476","0.352","-0.108","-0.136","-0.219","-0.202","-0.094","0.046"
"FCERI","cDC2","0.045","0.002","0.721","0.799","0.352","0.799","1","0.61","-0.253","-0.12","-0.477","-0.421","-0.272","-0.315"
"FCERI","DNT","0.339","1","0.692","0.335","0.73","0.583","0.623","0.73","0.049","-0.001","0.036","0.021","-0.022","0.019"
"FCERI","DPT","0.407","0.838","0.328","0.874","0.669","0.014","0.61","0.521","-0.078","0.013","-0.071","-0.028","0.002","-0.014"
"FCERI","GMDSC","0.599","0.322","0.395","1","0.257","0.254","0.905","0.067","0.057","-0.07","0.031","-0.079","-0.018","0.071"
"FCERI","MMDSC_I","0.266","0.074","0.799","0.913","0.61","0.427","0.476","0.556","0.002","-0.076","-0.052","-0.13","-0.078","-0.064"
"FCERI","MMDSC_II","0.946","0.084","1","0.661","0.915","0.435","0.886","0.762","0.041","-0.038","-0.077","-0.064","-0.121","-0.075"
"FCERI","MMDSC_III","0.32","0.275","0.506","0.646","0.914","0.562","0.476","0.61","0.034","-0.029","0.012","-0.103","-0.034","-0.004"
"FCERI","Mono_I","0.459","0.01","0.506","0.879","1","0.646","0.352","0.171","-0.004","0.055","-0.197","-0.029","-0.215","-0.079"
"FCERI","Mono_II","0.9","0.846","0.038","0.562","0.61","1","0.476","0.61","0.009","0.031","-0.281","0.428","-0.307","0.371"
"FCERI","Mono_III","0.854","0.064","0.721","0.879","0.914","0.646","0.61","0.914","0.035","-0.019","-0.022","-0.129","-0.084","-0.077"
"FCERI","Neu","0.366","0.475","0.752","0.959","0.914","0.721","0.762","0.831","0.015","0.012","0.016","0.019","-0.004","0.001"
"FCERI","NK_like","0.058","0.677","0.752","1","0.762","0.598","1","0.831","0.008","-0.003","0.013","0.007","0.001","0.01"
"FCERI","pDC","0.747","0.492","0.506","1","0.914","0.279","0.114","0.762","0","0.011","0","0.028","-0.008","0.02"
"FCERI","UA","0.758","0.153","0.328","0.959","0.762","0.383","0.257","0.521","0.04","-0.148","0.002","-0.135","-0.077","-0.042"
"HLADR","B","0.459","0.064","0.959","0.442","0.61","0.328","0.476","0.762","0.055","-0.102","-0.103","-0.204","-0.197","-0.175"
"HLADR","Baso","0.027","0.16","0.635","0.328","0.914","0.328","0.914","0.352","0.076","-0.457","-0.934","-0.54","-1.057","-0.166"
"HLADR","CD4_T","0.005","0.01","0.799","0.574","0.476","0.104","0.352","1","0.23","0.072","0.611","0.339","0.338","0.296"
"HLADR","CD8_T","0","0.02","0.879","0.799","0.762","0.027","0.352","0.476","0.406","0.142","0.589","0.389","0.12","0.228"
"HLADR","cDC1","0.098","0.813","0.959","0.562","0.257","1","0.114","0.067","-0.15","-0.13","0.134","-0.245","0.411","-0.119"
"HLADR","cDC2","0.227","0.002","0.234","0.187","0.067","0.16","0.067","0.914","0.086","-0.122","-0.085","-0.359","-0.221","-0.247"
"HLADR","DNT","0","0.203","1","0.661","0.905","1","0.905","0.556","0.405","0.224","0.119","0.115","-0.39","-0.068"
"HLADR","DPT","0.098","0.557","0.574","0.442","0.476","0.328","0.762","0.914","0.354","0.144","0.353","0.244","-0.128","0.133"
"HLADR","GMDSC","0.639","0.557","0.913","0.743","0.352","0.953","0.905","0.914","-0.009","0.121","-0.016","-0.154","0.091","0.089"
"HLADR","MMDSC_I","0.025","0.734","0.721","0.743","0.476","0.661","0.914","0.73","0.225","0.142","0.078","-0.025","-0.126","-0.033"
"HLADR","MMDSC_II","0.008","0.625","0.606","1","0.914","0.943","0.686","0.476","-0.21","-0.315","-0.279","-0.094","-0.035","0.171"
"HLADR","MMDSC_III","0.132","0.695","0.879","0.383","0.61","0.279","0.762","0.61","0.001","-0.145","-0.108","-0.145","-0.105","0.037"
"HLADR","Mono_I","0.963","0.77","0.383","0.104","0.01","0.279","0.61","0.914","0.14","-0.082","0.079","-0.137","-0.037","-0.072"
"HLADR","Mono_II","0.13","0.77","0.743","0.712","0.762","0.661","0.762","1","0.204","0.158","0.127","0.04","-0.024","0.031"
"HLADR","Mono_III","0.023","0.695","0.646","0.506","0.61","0.16","0.762","0.914","0.308","0.102","0.166","0.049","-0.127","-0.024"
"HLADR","Neu","0.064","0.01","0.799","1","1","0.328","1","0.61","0.185","0.05","0.348","0.291","0.131","0.2"
"HLADR","NK_like","0.003","0.002","0.721","0.959","0.914","0.879","0.61","0.352","0.105","0.054","0.214","0.278","0.097","0.233"
"HLADR","pDC","0.263","0.625","0.959","0.721","0.61","0.879","0.171","0.171","0.052","0.025","-0.203","0.055","-0.214","0.037"
"HLADR","UA","0.329","0.625","0.442","1","0.914","0.328","0.171","0.476","0.262","-0.089","0.316","-0.249","0.014","-0.218"
"PDL1","B","0.098","0.275","0.597","0.154","0.352","0.721","1","0.352","0.018","0.018","0.084","0.049","0.064","0.018"
"PDL1","Baso","0.171","0.541","0.383","0.874","0.067","0.799","0.476","0.521","0.06","0.026","0.194","0.04","0.115","0.008"
"PDL1","CD4_T","0.042","1","0.383","0.104","0.476","0.154","0.762","0.019","0.064","0.006","0.029","0.03","-0.048","0.015"
"PDL1","CD8_T","0.004","0.722","0.429","0.154","0.352","0.102","0.914","0.038","0.055","0.009","0.023","0.025","-0.043","0.016"
"PDL1","cDC1","0.17","0.241","0.328","0.019","0.476","0.154","0.762","0.61","0.204","0.057","-0.046","0.08","-0.309","-0.021"
"PDL1","cDC2","0.033","0.575","0.399","0.195","0.257","0.399","1","0.257","0.074","0.022","0.032","0.031","-0.062","0.009"
"PDL1","DNT","0.562","0.236","0.267","0.115","0.73","0.583","0.905","0.176","0.097","-0.034","-0.03","0","-0.174","-0.008"
"PDL1","DPT","0.492","0.695","0.13","0.267","0.171","0.195","0.257","0.352","-0.002","0.045","-0.072","0.048","-0.083","0.017"
"PDL1","GMDSC","0.89","0.375","0.221","0.09","0.61","0.859","0.286","0.114","0.065","0.005","-0.012","-0.1","-0.11","0.03"
"PDL1","MMDSC_I","0.562","0.734","0.328","0.141","0.476","0.441","0.762","0.286","0.064","-0.01","0.003","0.03","-0.066","0.019"
"PDL1","MMDSC_II","0.507","0.049","0.898","0.32","0.067","0.171","0.2","0.476","0.013","-0.042","0.302","0.044","0.298","0.075"
"PDL1","MMDSC_III","0.653","0.557","0.328","0.342","0.067","0.879","0.171","0.352","0","0.014","0.111","-0.014","0.107","-0.021"
"PDL1","Mono_I","0.031","0.193","0.279","0.082","0.476","1","0.454","0.61","0.088","0.049","-0.045","0.063","-0.16","-0.019"
"PDL1","Mono_II","0.9","0.105","0.145","0.799","0.114","0.267","0.61","0.352","-0.136","0.016","0.021","0.097","0.19","0.059"
"PDL1","Mono_III","0.08","0.492","0.292","0.225","0.61","0.506","0.669","0.257","0.066","0.011","0.02","0.035","-0.06","0.014"
"PDL1","Neu","0.687","0.846","0.154","0.065","0.352","0.721","0.914","0.914","0.034","0.014","0.031","0.014","-0.012","0.004"
"PDL1","NK_like","0.028","0.695","0.234","0.064","0.257","0.16","0.914","0.171","0.046","0.006","0.014","0.019","-0.041","0.011"
"PDL1","pDC","0.309","0.695","0.16","0.082","0.61","0.328","0.762","0.914","0.051","0.007","0.009","0.015","-0.064","0.02"
"PDL1","UA","0.611","0.492","0.574","0.574","0.914","0.506","0.171","0.61","0.088","-0.058","0.133","-0.094","0.009","-0.077"
"PDL2","B","0.492","0.375","1","0.833","0.914","0.799","0.914","0.914","0.059","-0.048","0.089","0.107","0.072","0.072"
"PDL2","Baso","0.431","0.625","0.154","0.646","0.171","0.721","0.476","0.61","0.08","0.032","0.065","0.151","-0.023","0.081"
"PDL2","CD4_T","0.329","0.492","0.506","0.506","0.762","0.234","0.61","0.114","0.347","-0.003","0.006","0.201","-0.365","0.112"
"PDL2","CD8_T","0.712","0.906","0.279","0.879","0.257","0.721","0.762","0.114","0.152","-0.072","0.086","0.239","-0.081","0.258"
"PDL2","cDC1","0.548","0.557","0.574","0.721","0.171","1","0.914","0.914","-0.034","-0.032","-0.523","-0.157","-0.383","0.025"
"PDL2","cDC2","0.943","0.625","0.429","0.799","0.476","0.383","0.352","0.067","0.141","-0.067","0.006","0.243","-0.132","0.199"
"PDL2","DNT","1","0.027","0.221","0.583","0.413","0.583","0.413","0.73","0.087","-0.114","0.137","0.182","0.182","0.241"
"PDL2","DPT","0.159","0.275","0.574","1","0.914","0.879","0.762","0.476","0.302","0.073","0.041","0.204","-0.367","0.045"
"PDL2","GMDSC","0.755","0.322","0.743","0.267","0.476","0.178","0.905","0.352","0.439","-0.15","0.208","0.181","-0.087","0.296"
"PDL2","MMDSC_I","0.706","0.164","0.234","0.661","0.476","0.583","0.914","0.413","0.003","-0.111","0.043","0.115","0.105","0.3"
"PDL2","MMDSC_II","0.305","0.432","0.699","1","0.171","0.943","0.114","0.171","0.096","0.093","-0.003","0.513","-0.026","0.155"
"PDL2","MMDSC_III","0.045","0.037","0.635","0.195","0.914","0.879","0.762","0.352","0.145","0.086","0.27","0.274","0.144","0.18"
"PDL2","Mono_I","0.193","0.432","0.879","1","0.038","0.279","0.352","0.352","0.112","0.03","-0.228","0.108","-0.365","0.003"
"PDL2","Mono_II","0.86","0.131","0.18","0.383","0.61","0.18","0.476","0.762","-0.181","0.06","0.066","0.21","0.3","0.073"
"PDL2","Mono_III","0.927","0.375","0.646","0.879","0.257","0.959","0.762","0.61","-0.015","-0.127","-0.122","0.159","-0.004","0.261"
"PDL2","Neu","0.818","0.922","0.037","0.279","0.257","0.328","0.762","0.762","0.141","-0.112","0.108","-0.005","-0.037","0.038"
"PDL2","NK_like","0.517","0.193","0.799","0.799","0.352","0.799","0.476","0.352","0.093","-0.151","0.035","0.303","0.014","0.291"
"PDL2","pDC","0.712","0.049","0.799","0.442","0.476","0.442","0.762","0.171","0.359","-0.03","0.312","0.662","0.099","0.638"
"PDL2","UA","0.579","0.375","0.442","0.959","0.762","0.574","0.257","0.762","0.185","-0.284","0.153","-0.368","-0.062","-0.225"
