"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CD103","MMDSC_I","0.423","0.25","0.37","0.18","0.476","0.496","0.915","1","0.011","0.029","-0.002","-0.01","-0.01","-0.009"
"CD103","MMDSC_II","0.017","0.232","0.548","0.019","0.521","0.093","0.343","0.61","0.111","0.019","0.034","-0.025","-0.034","-0.019"
"CD103","MMDSC_III","0","0.105","0.224","0.225","0.24","0.279","0.257","0.914","0.053","0.017","0.013","0.003","-0.009","-0.008"
"CD103","Mono_I","0.065","0.636","0.13","0.048","0.257","0.493","0.61","0.762","0.024","0.017","0.009","0.018","-0.013","0"
"CD103","Mono_II","0.485","0.241","1","0.429","0.171","0.692","0.257","1","0.211","-0.028","0.066","-0.11","-0.196","-0.031"
"CD103","Mono_III","0.435","0.213","0.065","0.023","0.163","0.752","0.476","0.392","0.006","0.001","-0.005","-0.002","-0.011","-0.002"
"CD103","Neu","0.031","0.407","0.341","0.369","0.476","0.958","0.476","0.61","0.007","0.007","0.001","0.007","-0.004","0"
"CD103","NK_like","0.088","0.878","0.287","0.673","0.257","0.672","0.04","0.257","0.002","0.002","-0.002","0.013","-0.002","0.012"
"CD103","pDC","0.007","0.636","0.006","0.008","0.24","0.225","0.762","0.257","0.03","0.007","0.009","0.013","-0.008","0.004"
"CD103","UA","0.579","0.275","0.879","0.721","1","0.799","0.61","0.914","-0.01","-0.068","-0.039","-0.036","-0.017","-0.009"
"CD116","B","0.712","0.846","0.721","0.328","0.199","0.574","0.114","0.61","0.036","-0.04","0.181","0.013","0.138","0.001"
"CD116","Baso","0.145","0.049","0.195","0.195","0.476","0.959","0.61","0.762","-0.157","-0.156","-0.421","-0.271","-0.288","-0.23"
"CD116","CD4_T","0.831","0.906","0.506","0.234","0.762","0.002","0.762","0.352","0.069","-0.019","0.085","0.03","0.004","0.025"
"CD116","CD8_T","0.887","0.375","0.399","0.527","1","0.058","0.669","0.476","0.037","-0.022","0.1","0.027","0.053","0.033"
"CD116","cDC1","0.353","0.492","1","0.879","0.476","0.383","0.914","0.762","-0.03","-0.058","0.12","-0.032","0.165","-0.026"
"CD116","cDC2","0.12","0.322","0.959","0.279","0.171","0.959","0.762","0.352","-0.129","-0.149","-0.034","-0.234","0.044","-0.214"
"CD116","DNT","0.597","0.496","0.583","0.661","0.73","0.583","0.905","1","0.014","-0.052","0.096","0.02","0.112","0.017"
"CD116","DPT","0.818","0.375","0.799","0.879","0.914","0.328","0.914","0.914","-0.052","0.04","-0.061","0.06","-0.016","-0.012"
"CD116","GMDSC","0.083","0.846","0.661","0.308","0.914","0.44","0.905","0.61","0.152","0.146","0.118","-0.018","-0.066","0.025"
"CD116","MMDSC_I","0.821","0.138","0.383","0.821","0.352","0.913","0.914","0.73","-0.015","0.055","0.008","-0.071","-0.04","-0.281"
"CD116","MMDSC_II","0.216","0.193","0.518","0.583","0.762","0.435","0.486","0.61","0.068","-0.05","-0.02","0.05","-0.077","-0.278"
"CD116","MMDSC_III","0.747","0.557","0.506","0.721","0.352","0.721","0.476","0.257","-0.003","0.096","0.093","-0.049","0.092","-0.12"
"CD116","Mono_I","0.579","0.084","0.383","0.234","0.067","0.879","1","0.762","0.055","0.037","-0.008","-0.049","-0.091","-0.189"
"CD116","Mono_II","0.632","0.275","0.583","0.383","0.476","0.221","0.476","0.114","-0.271","0.097","-0.157","-0.275","0.115","-0.344"
"CD116","Mono_III","0.579","0.084","0.195","0.328","0.038","0.799","0.61","0.476","-0.01","0.115","0.036","-0.159","-0.038","-0.272"
"CD116","Neu","0.85","1","0.234","0.635","0.762","0.027","0.762","0.257","0.074","-0.032","0.067","0.029","-0.018","0.015"
"CD116","NK_like","0.298","0.284","0.799","0.635","0.476","0.13","0.762","0.257","0.017","-0.018","0.04","0.022","0.022","0.024"
